Time (s) Auto,Angle (rad) Run #2
36.48,20.29817627
36.5,20.22836311
36.52,20.15854995
36.54,20.10619008
36.56,20.03637692
36.58,19.98401705
36.6,19.91420389
36.62,19.86184402
36.64,19.80948415
36.66,19.75712428
36.68,19.68731112
36.7,19.63495125
36.72,19.58259138
36.74,19.5476848
36.76,19.49532493
36.78,19.44296506
36.8,19.39060519
36.82,19.35569861
36.84,19.30333874
36.86,19.26843216
36.88,19.21607229
36.9,19.18116571
36.92,19.14625913
36.94,19.11135255
36.96,19.07644597
36.98,19.04153939
37,19.00663281
37.02,18.98917952
37.04,18.95427294
37.06,18.93681965
37.08,18.90191307
37.1,18.88445978
37.12,18.86700649
37.14,18.8495532
37.16,18.83209991
37.18,18.81464662
37.2,18.79719333
37.22,18.77974004
37.24,18.77974004
37.26,18.76228675
37.28,18.76228675
37.3,18.76228675
37.32,18.76228675
37.34,18.76228675
37.36,18.76228675
37.38,18.76228675
37.4,18.76228675
37.42,18.76228675
37.44,18.77974004
37.46,18.77974004
37.48,18.79719333
37.5,18.81464662
37.52,18.83209991
37.54,18.83209991
37.56,18.86700649
37.58,18.88445978
37.6,18.90191307
37.62,18.91936636
37.64,18.93681965
37.66,18.97172623
37.68,18.98917952
37.7,19.0240861
37.72,19.05899268
37.74,19.07644597
37.76,19.11135255
37.78,19.14625913
37.8,19.18116571
37.82,19.21607229
37.84,19.25097887
37.86,19.30333874
37.88,19.33824532
37.9,19.3731519
37.92,19.42551177
37.94,19.46041835
37.96,19.51277822
37.98,19.5476848
38,19.60004467
38.02,19.63495125
38.04,19.68731112
38.06,19.73967099
38.08,19.79203086
38.1,19.84439073
38.12,19.8967506
38.14,19.93165718
38.16,19.98401705
38.18,20.03637692
38.2,20.08873679
38.22,20.15854995
38.24,20.21090982
38.26,20.26326969
38.28,20.31562956
38.3,20.36798943
38.32,20.4203493
38.34,20.47270917
38.36,20.52506904
38.38,20.5948822
38.4,20.64724207
38.42,20.69960194
38.44,20.75196181
38.46,20.80432168
38.48,20.87413484
38.5,20.92649471
38.52,20.97885458
38.54,21.03121445
38.56,21.08357432
38.58,21.13593419
38.6,21.20574735
38.62,21.25810722
38.64,21.31046709
38.66,21.36282696
38.68,21.41518683
38.7,21.4675467
38.72,21.51990657
38.74,21.57226644
38.76,21.62462631
38.78,21.67698618
38.8,21.71189276
38.82,21.76425263
38.84,21.8166125
38.86,21.86897237
38.88,21.90387895
38.9,21.95623882
38.92,21.9911454
38.94,22.04350527
38.96,22.07841185
38.98,22.13077172
39,22.1656783
39.02,22.20058488
39.04,22.25294475
39.06,22.28785133
39.08,22.32275791
39.1,22.35766449
39.12,22.39257107
39.14,22.42747765
39.16,22.46238423
39.18,22.47983752
39.2,22.5147441
39.22,22.54965068
39.24,22.56710397
39.26,22.60201055
39.28,22.61946384
39.3,22.63691713
39.32,22.67182371
39.34,22.689277
39.36,22.70673029
39.38,22.72418358
39.4,22.74163687
39.42,22.75909016
39.44,22.75909016
39.46,22.77654345
39.48,22.79399674
39.5,22.79399674
39.52,22.81145003
39.54,22.81145003
39.56,22.81145003
39.58,22.82890332
39.6,22.82890332
39.62,22.82890332
39.64,22.82890332
39.66,22.82890332
39.68,22.81145003
39.7,22.81145003
39.72,22.81145003
39.74,22.81145003
39.76,22.79399674
39.78,22.79399674
39.8,22.77654345
39.82,22.75909016
39.84,22.75909016
39.86,22.74163687
39.88,22.72418358
39.9,22.70673029
39.92,22.689277
39.94,22.67182371
39.96,22.65437042
39.98,22.63691713
40,22.60201055
40.02,22.58455726
40.04,22.56710397
40.06,22.53219739
40.08,22.5147441
40.1,22.47983752
40.12,22.46238423
